id,path,No_compare,a,e,o,c,n,Description,Tops,Bottom,Clothing Color,Hair Style,Hair Color,Clothing pattern,Sleeve
15984,https://raw.githubusercontent.com/johnwwwl/imgs/main/00ciLKewtk.jpg,15,0.533333333,0.533333333,0.733333333,0.4,0.666666667,The female is wearing a sleeveless blouse paired with a skirt.,Blouses,Skirts,The blouse is a pale pink and the skirt is white.,Long Straight,Dark Brown,Horizontal stripes,Short sleeve
15985,https://raw.githubusercontent.com/johnwwwl/imgs/main/00NwhOvYzZ.jpg,13,0.461538462,0.461538462,0.384615385,0.615384615,0.538461538,The female is wearing a casual T-shirt with a rounded neckline and short sleeves.,T-Shirts,Jeans,Grey,Long Straight,Blonde,"There's a logo on the shirt, with a line pattern resembling a jumping figure.",Short sleeve
15986,https://raw.githubusercontent.com/johnwwwl/imgs/main/00NwhOvYzZ.jpg,18,0.611111111,0.611111111,0.388888889,0.444444444,0.555555556,"The female in the picture is wearing a casual, short-sleeved T-shirt paired with what appears to be dark-hued trousers or jeans.",T-Shirts,Jeans,Grey,Long Straight,Blonde,The T-shirt has a polka dot pattern with small motifs or icons dispersed throughout.,Short sleeve
15987,https://raw.githubusercontent.com/johnwwwl/imgs/main/01f45lCGUV.jpg,21,0.238095238,0.238095238,0.761904762,0.476190476,0.285714286,The female in the picture is wearing a short sleeve t-shirt paired with jeans.,T-Shirts,Jeans,Grey,Long Straight,Blond,The t-shirt has a logo with text reading 'TOMMY NEW YORK' and an emblem above it.,Short sleeve
15988,https://raw.githubusercontent.com/johnwwwl/imgs/main/01T1YjJgpG.jpg,20,0.5,0.5,0.5,0.45,0.5,The female is wearing a short-sleeved T-shirt paired with a high-waisted skirt.,T-Shirts,Skirts,The T-shirt is light blue and the skirt is black.,Long Straight,Dark brown,The T-shirt has a text logo 'LOVE' on the chest area.,Short sleeve
15989,https://raw.githubusercontent.com/johnwwwl/imgs/main/01WQ6NyvCU.jpg,26,0.461538462,0.461538462,0.307692308,0.346153846,0.461538462,The female in the picture is wearing a sleeveless top with a high neckline and a cut-out detail.,Halter Tops,Jeans,Red,Short,Light brown or auburn,Horizontal stripes,Sleeveless
15990,https://raw.githubusercontent.com/johnwwwl/imgs/main/020xT4Lm79.jpg,21,0.666666667,0.666666667,0.333333333,0.571428571,0.523809524,The female is wearing a long sleeve top with a graphic print on it.,Sweatshirts,Jeans,Navy,Long Straight,Blonde,The top has a graphic print consisting of images that resemble flags or similar motifs.,Long sleeve
15991,https://raw.githubusercontent.com/johnwwwl/imgs/main/02J9ktGQp4.jpg,24,0.5,0.5,0.5,0.5,0.416666667,The female in the picture is wearing a plain short sleeve top and floral pattern trousers.,T-Shirts,Trousers,Olive,Long Straight,Blonde,Floral Pattern,Short sleeve
15992,https://raw.githubusercontent.com/johnwwwl/imgs/main/02Tl4pHgJq.jpg,18,0.555555556,0.555555556,0.611111111,0.5,0.555555556,The female is wearing a casual styled printed T-shirt paired with jeans.,T-Shirts,Jeans,"The main color on the T-shirt is black, but the print contains whites and pinks. The jeans are blue.",Long Straight,Black,The T-shirt has a graphic print with an image and possible text,Short sleeve
15993,https://raw.githubusercontent.com/johnwwwl/imgs/main/02TybEWwRM.jpg,30,0.433333333,0.433333333,0.3,0.433333333,0.333333333,The female is wearing a blouse with ruffle details and a bow tie at the neckline.,Blouses,Jeans,Peach,Long Straight,Brown,Horizontal stripes,Short sleeve
15994,https://raw.githubusercontent.com/johnwwwl/imgs/main/02WdtaIYUO.jpg,16,0.3125,0.3125,0.4375,0.5,0.5,The female in the picture is wearing a short sleeve top with a ruffled detail around the neckline and sleeves.,Blouses,Jeans,Grey,Long Straight,Blonde,Horizontal stripes,Short sleeve
15995,https://raw.githubusercontent.com/johnwwwl/imgs/main/04MQL8j9Vp.jpg,16,0.4375,0.4375,0.4375,0.4375,0.375,The female in the picture is wearing a striped long sleeve top and dark-colored bottoms.,Sweaters,Jeans,Pink and white,Long Straight,Blonde,Striped,Long sleeve
15996,https://raw.githubusercontent.com/johnwwwl/imgs/main/04Y4tLxhF3.jpg,21,0.523809524,0.523809524,0.428571429,0.571428571,0.571428571,The female in the picture is wearing a casual V-neck T-shirt and jeans.,T-Shirts,Jeans,Grey,Ponytail,Brown,The T-shirt has a small logo on the left side of the chest.,Short sleeve
15997,https://raw.githubusercontent.com/johnwwwl/imgs/main/05ekSkQ4Bd.jpg,20,0.3,0.3,0.55,0.3,0.3,The female in the picture is wearing a casual red T-shirt with a graphic print on the front and blue jeans.,T-Shirts,Jeans,Red and blue,Long Wavy/Curly,Brown,The T-shirt has a graphic print that includes text and imagery relating to New York.,Short sleeve
15998,https://raw.githubusercontent.com/johnwwwl/imgs/main/05QZD2o2ag.jpg,18,0.666666667,0.666666667,0.611111111,0.722222222,0.666666667,The female in the picture is wearing a sleeveless tank top paired with what appears to be pants (though not fully visible).,Tank Tops,Jeans,Navy,Long Wavy/Curly,Blonde,Horizontal stripes,Sleeveless
15999,https://raw.githubusercontent.com/johnwwwl/imgs/main/06GcbLwdDL.jpg,16,0.5625,0.5625,0.625,0.5625,0.6875,The female in the picture is wearing a sleeveless top with lace detailing at the bottom hem.,Camisoles,Jeans,White,Long Straight,Blonde,Horizontal stripes,Sleeveless
16000,https://raw.githubusercontent.com/johnwwwl/imgs/main/07dVpZFPGH.jpg,10,0.5,0.5,0.4,0.6,0.6,The female in the picture is wearing a short-sleeved T-shirt paired with athletic leggings.,T-Shirts,Leggings,Pink,Ponytail,Blonde,"The leggings feature a pattern; however, it's not clear enough to describe in detail. The T-shirt appears to have no visible pattern, logo, or text.",Short sleeve
16001,https://raw.githubusercontent.com/johnwwwl/imgs/main/07fPXf7CNU.jpg,16,0.125,0.125,0.5,0.6875,0.25,The female in the picture is wearing an off-shoulder blouse with ruffle detail along the neckline.,Blouses,Shorts,Blue,Long Straight,Brown,"The shorts have a subtle pattern, possibly floral or star-shaped embellishments.",Short sleeve
16002,https://raw.githubusercontent.com/johnwwwl/imgs/main/088l7YhWZa.jpg,13,0.538461538,0.538461538,0.307692308,0.538461538,0.461538462,"The female in the picture is wearing a simple, loose-fitting black top that has a slightly asymmetric cut at the bottom. She is also wearing white bottoms, which could be jeans or trousers based on the fit and the visible front pockets.",T-Shirts,Jeans,Black and White,Long Wavy/Curly,Brown,Horizontal stripes,Short sleeve
16003,https://raw.githubusercontent.com/johnwwwl/imgs/main/08x67IB04C.jpg,25,0.4,0.4,0.52,0.64,0.4,The female in the picture is wearing a short-sleeve T-shirt with a phrase printed on it and a pair of jeans embellished with some sort of sparkle or studs.,T-Shirts,Jeans,Pink,Long Straight,Brown,The shirt has a text that says 'MADE IN IT-T9',Short sleeve
16004,https://raw.githubusercontent.com/johnwwwl/imgs/main/09c2iXkGSc.jpg,14,0.571428571,0.571428571,0.357142857,0.285714286,0.571428571,She is wearing a black top with mesh detailing around the neckline and shoulders.,Blouses,Jeans,Black,Long Straight,Blonde,Horizontal stripes,Short sleeve
16005,https://raw.githubusercontent.com/johnwwwl/imgs/main/09GT3PsASn.jpg,13,0.307692308,0.307692308,0.538461538,0.615384615,0.692307692,The female in the picture is wearing a plain white top and dark-colored bottoms.,T-Shirts,Trousers,"White for the top, and possibly olive or dark green for the bottoms.",Short,Blond,Horizontal stripes,Short sleeve
16006,https://raw.githubusercontent.com/johnwwwl/imgs/main/0A8OLnB0sf.jpg,12,0.833333333,0.833333333,0.75,0.666666667,0.666666667,The female in the picture is wearing a form-fitting top and patterned bottoms.,Sweaters,Trousers,Black,Long Straight,Blond,The bottoms appear to have a checkered or houndstooth pattern.,Long sleeve
16007,https://raw.githubusercontent.com/johnwwwl/imgs/main/0aD9EfmAwP.jpg,16,0.5,0.5,0.625,0.625,0.375,The female in the picture is wearing a floral mesh long-sleeved top and gray trousers.,Bodysuits,Trousers,Black and Gray,Long Wavy/Curly,Blonde,Floral,Long sleeve
16008,https://raw.githubusercontent.com/johnwwwl/imgs/main/0AivIg0QdW.jpg,16,0.375,0.375,0.4375,0.4375,0.375,The female is wearing a printed sweater with a round neckline.,Sweaters,Jeans,Black,Long Straight,Blonde,The sweater has a white speckled pattern throughout.,Long sleeve
16009,https://raw.githubusercontent.com/johnwwwl/imgs/main/0ANS4UnHBW.jpg,19,0.421052632,0.421052632,0.315789474,0.368421053,0.526315789,The female in the picture is wearing a high-neck sheer top with prominent ruffles at the neck.,Blouses,Jeans,Black,Long Straight,Brown,The blouse appears to have a sheer fabric with no distinct pattern; the jeans have no visible patterns.,Long sleeve
16010,https://raw.githubusercontent.com/johnwwwl/imgs/main/0ATiVFl2pq.jpg,20,0.75,0.75,0.55,0.5,0.6,The female in the picture is wearing a short-sleeve top with ribbon tie details at the sleeves and floral patterned shorts.,T-Shirts,Shorts,"Pink for the top, various colors for the floral pattern on a black background for the shorts.",Long Straight,Blonde,"The shorts have a floral pattern, while the top appears to be solid colored.",Short sleeve
16011,https://raw.githubusercontent.com/johnwwwl/imgs/main/0AzUCx8ZKH.jpg,19,0.526315789,0.526315789,0.421052632,0.368421053,0.315789474,"The female in the picture is wearing a casual, short sleeve T-shirt with cut-out details at the shoulders.",T-Shirts,Jeans,Red,Long Wavy/Curly,Black,Horizontal stripes,Short sleeve
16012,https://raw.githubusercontent.com/johnwwwl/imgs/main/0B4lbqXnXY.jpg,26,0.423076923,0.423076923,0.5,0.461538462,0.5,The female in the picture is wearing what appears to be a fitted top with lace details at the collar and cuffs.,Shirts,Jeans,Olive,Long Straight,Brown,The shirt has lace detailing on the collar and cuffs.,Long sleeve
16013,https://raw.githubusercontent.com/johnwwwl/imgs/main/0b9FvMgXU6.jpg,19,0.368421053,0.368421053,0.473684211,0.210526316,0.526315789,The female in the picture is wearing a casual-style T-shirt with an embellished collar area featuring decorative elements and what appears to be embroidery or beadwork.,T-Shirts,Jeans,White,Short,Blonde,Embellished collar with decorative elements,Short sleeve
